periodo,categoria,persistencia,salida,entrada
2014_t1,Inactivo,86.6,13.4,17.4
2014_t1,Trab_familiar,87.4,12.6,0.8
2014_t2,Ocupado,87.3,12.7,13.7
2014_t2,Desocupado,21.7,78.3,74.8
2014_t2,Inactivo,86.3,13.7,16.9
2014_t2,Trab_familiar,88.3,11.7,0.9
2015_t2,Ocupado,0,100,100
2015_t2,Desocupado,0,100,100
2015_t2,Inactivo,0,100,100
2015_t2,Trab_familiar,0,100,100
2016_t2,Ocupado,87,13,15.2
2016_t2,Desocupado,23.4,76.6,74.7
2016_t2,Inactivo,85.9,14.1,15.9
2016_t2,Trab_familiar,88,12,1
2016_t3,Ocupado,87.3,12.7,14.9
2016_t3,Desocupado,24.4,75.6,75.6
2016_t3,Inactivo,85.4,14.6,16.1
2016_t3,Trab_familiar,86.5,13.5,1
2016_t4,Ocupado,87.8,12.2,14
2016_t4,Desocupado,20,80,76.8
2016_t4,Inactivo,86.9,13.1,15.5
2016_t4,Trab_familiar,88.6,11.4,0.6
2017_t1,Ocupado,86.8,13.2,15.1
2017_t1,Desocupado,26.2,73.8,76.8
2017_t1,Inactivo,84.1,15.9,16.1
2017_t1,Trab_familiar,88.5,11.5,1
2017_t2,Ocupado,86.6,13.4,14.6
2017_t2,Desocupado,27.2,72.8,76.2
2017_t2,Inactivo,85.9,14.1,15
2017_t2,Trab_familiar,88.5,11.5,0.9
2017_t3,Ocupado,86.4,13.6,13.7
2017_t3,Desocupado,27.2,72.8,73.8
2017_t3,Inactivo,86.5,13.5,15.7
2017_t3,Trab_familiar,89.3,10.7,0.7
2017_t4,Ocupado,85.9,14.1,13
2017_t4,Desocupado,26.2,73.8,78.8
2017_t4,Inactivo,86.3,13.7,16.3
2017_t4,Trab_familiar,89.2,10.8,0.5
2018_t1,Ocupado,86.2,13.8,14
2018_t1,Desocupado,28.4,71.6,75.2
2018_t1,Inactivo,85.5,14.5,16.3
2018_t1,Trab_familiar,88.3,11.7,0.5
2018_t2,Ocupado,86.3,13.7,14
2018_t2,Desocupado,30.3,69.7,74.5
2018_t2,Inactivo,85.2,14.8,15.7
2018_t2,Trab_familiar,90.1,9.9,0.5
2018_t3,Ocupado,86.4,13.6,13.5
2018_t3,Desocupado,30.4,69.6,71.1
2018_t3,Inactivo,86.5,13.5,16.1
2018_t3,Trab_familiar,88.9,11.1,1.3
2018_t4,Ocupado,86.7,13.3,14.5
2018_t4,Desocupado,24.3,75.7,73.6
2018_t4,Inactivo,86.3,13.7,15.8
2018_t4,Trab_familiar,90.3,9.7,0.9
2019_t1,Ocupado,85.1,14.9,15
2019_t1,Desocupado,28,72,70.8
2019_t1,Inactivo,85.5,14.5,17.6
2019_t1,Trab_familiar,88.9,11.1,1.2
2019_t2,Ocupado,71.9,28.1,10.6
2019_t2,Desocupado,27.9,72.1,75.7
2019_t2,Inactivo,91.3,8.7,26.4
2019_t2,Trab_familiar,88.9,11.1,0.7
2019_t3,Ocupado,78.8,21.2,11.5
2019_t3,Desocupado,18.6,81.4,85
2019_t3,Inactivo,89.3,10.7,25.5
2019_t3,Trab_familiar,87.7,12.3,0.7
